"","gene_symbol","L1","L2","L3","L4","L5","L6","WM"
"10639","NDUFAF5",4.71632357694049,5.19460485519126,5.21721488635693,5.3643968187991,5.22980095725444,5.04234912742226,4.66381971780354
"10640","NDUFAF6",4.89971576683091,5.19017800382801,4.97664763135634,4.98334331726521,4.79610509555897,4.85844692266435,4.51504776754854
"10641","NDUFAF7",3.24951557382785,3.49369005837241,3.74123547078455,4.05529469476781,3.62834490306074,3.64469908028372,3.3008406037873
"10642","NDUFAF8",8.07167751238384,7.8486213344258,7.82213527399546,7.60921233602206,7.66074756697972,7.75925875911146,7.65175835877292
"10643","NDUFB1",9.01936575296543,9.2827573430852,9.36238574325421,9.35485990936093,9.22429051466114,8.96696073736905,8.62204394917749
"10644","NDUFB10",8.15143657458269,8.08574600310429,8.17334294354363,8.26745629768347,8.25977695675137,8.04372911353457,7.98040350126097
"10645","NDUFB11",8.62604898158948,8.5623968449928,8.53244027289927,8.60863328831313,8.57690557290953,8.40257332451116,8.12920561707923
"10646","NDUFB2",9.31370092304727,9.33507257051887,9.45795726412857,9.45844412358788,9.40587660362484,9.22942103008463,9.18558082287625
"10647","NDUFB2-AS1",0.578172067080224,1.12186028402285,1.59139339723361,1.27170939775059,0.913276776062313,1.46014973655122,1.03494474840686
"10648","NDUFB3",7.70877879586937,7.7588038978661,7.8382549574947,7.93776277153014,7.80337611665634,7.55227721301243,7.33941272496035
"10649","NDUFB4",8.78696696660382,8.90224820323291,8.85878956012099,8.88070532421422,8.82206389119069,8.56636390857539,8.36947988468383
"10650","NDUFB5",7.49031533204815,7.61263470835957,7.71520455025551,7.63257349281251,7.69420874703877,7.52733331233289,7.10668018614664
"10651","NDUFB6",7.75908512178572,8.05076835424062,8.0186527641538,7.96715634762359,7.86801645499505,7.88239700692533,7.59287615857095
"10652","NDUFB7",8.70207969871817,8.63544663334291,8.64351696002849,8.6373065745998,8.51478102219133,8.35717651034837,8.26297438532261
"10653","NDUFB8",8.95002977832044,8.99938219641498,9.1531214993131,9.20091051873787,9.16306806523272,8.96875494477551,8.68060283718033
"10654","NDUFB9",9.04513940267805,8.91303375881425,9.05086150596611,9.14616442328584,9.11462149418049,8.97739562959025,8.81093132173193
"10655","NDUFC1",8.54521412601471,8.68387589707071,8.56712416970654,8.52735964692807,8.43528516789208,8.17903811821171,8.00784185102621
"10656","NDUFC2",8.86529982004755,9.09276048240393,9.0904475850349,8.98912432850693,8.99940559438624,8.81467534759183,8.49491080393137
"10657","NDUFS1",6.97628091367658,7.20101070685381,7.27011371911733,7.3520889464451,7.29717743193627,7.19573669238525,6.74722830265989
"10658","NDUFS2",7.3620804891282,7.61346151667143,7.77597642862962,7.88928909759325,7.9181626177152,7.74117710887719,7.43815272724821
"10659","NDUFS3",7.16123844404431,7.3192443351386,7.42703793876484,7.36493187605299,7.39344598060187,7.36605771751406,6.93324189461051
"10660","NDUFS4",6.81442569770991,6.92945753569157,6.97845328917647,7.08486877042529,6.8968732064331,6.69676846707571,6.53914543108892
