gene_symbol,entrez_id,region,expression_level,marker_annotation,original_annotation
IGSF11,152404,V1,++++,layer 2,scattered+layer 2/3
IGSF11,152404,V2,++++,layer 2,scattered
IGSF11,152404,Temporal,++++,layer 2,scattered
IGSF11,152404,V1,++++,layer 2,scattered+layer 2/3
IGSF11,152404,V2,++++,layer 2,scattered
IGSF11,152404,Temporal,++++,layer 2,scattered
IGSF11,152404,V1,++++,layer 3,scattered+layer 2/3
IGSF11,152404,V2,++++,layer 3,scattered
IGSF11,152404,Temporal,++++,layer 3,scattered
IGSF11,152404,V1,++++,layer 3,scattered+layer 2/3
IGSF11,152404,V2,++++,layer 3,scattered
IGSF11,152404,Temporal,++++,layer 3,scattered
IGSF21,84966,V1,+++,NA,"ubiquitous(2/3,5/6)"
IGSF21,84966,V2,+++,NA,"ubiquitous(2/3,6)"
IGSF21,84966,Temporal,+++,NA,"ubiquitous(2/3,6)"
IL1B,3553,V1,-,NA,none
IL1B,3553,V2,-,NA,none
IL1B,3553,Temporal,-,NA,NA
IL1RAPL1,11141,V1,+++,NA,ubiquitous
IL1RAPL1,11141,V2,+++,NA,ubiquitous
IL1RAPL1,11141,Temporal,+++,NA,NA
INPP1,3628,V1,+++,NA,ubiquitous
INPP1,3628,V2,+++,NA,ubiquitous
INPP1,3628,Temporal,+++,NA,ubiquitous
INPP4B,8821,V1,+++,layer 1,ubquitous(3)+layer 1
INPP4B,8821,V2,+++,layer 1,ubquitous(3/4)+layer 1
INPP4B,8821,Temporal,+++,layer 1,scattered+layer 1
INSR,3643,V1,++,NA,ubiquitous
INSR,3643,V2,++,NA,ubiquitous
INSR,3643,Temporal,++,NA,NA
ITGA5,3678,V1,+,NA,scattered
ITGA5,3678,V2,+,NA,scattered
ITGA5,3678,Temporal,+,NA,scattered
ITPR2,3709,V1,+++,NA,scattered
ITPR2,3709,V2,+++,NA,scattered
ITPR2,3709,Temporal,+++,NA,NA
ITSN1,6453,V1,+++,NA,ubiquitous
ITSN1,6453,V2,+++,NA,ubiquitous
ITSN1,6453,Temporal,+++,NA,ubiquitous
JRK,8629,V1,++,NA,scattered+ubiquitous
JRK,8629,V2,++,NA,scattered+ubiquitous
JRK,8629,Temporal,++,NA,NA
KCNA1,3736,V1,++++,layer 3,layer 5/6+scattered(3/4)
