"","gene_symbol","Layer1","Layer2","Layer3","Layer4","Layer5","Layer6"
"7033","SBDS",7.10594319121038,7.14448207522748,6.97217938235104,7.06881420377851,6.92403853058272,6.91110847305352
"7034","TYW1",3.13474424446638,3.10534093066007,2.81499088743572,2.52153602598097,2.79796349282739,2.93746476991213
"7035","CT66",0.450352082406091,0.178496618658084,0.269488172919877,0.178496618658083,0.267913282070445,0.289663119493922
"7036","AUTS2",5.16825123369906,5.36906941222997,5.33452394184798,5.22951857062756,5.40885757635722,5.1181498990797
"7037","GALNT17",6.6087336022696,7.04145881717529,7.16052766165157,7.14767884928593,7.28134084271525,7.11143072202468
"7038","CALN1",4.95138779891887,5.24028773388755,5.00758439986552,4.73782475776138,5.03774966826781,5.07287277432203
"7039","TYW1B",2.16425952352885,2.41864158647254,1.95747397855085,1.05052434728781,1.27318277901533,1.12936640043411
"7040","POM121",5.06654870165861,5.04143527607179,5.22485723282782,5.02746431621143,5.13953695377895,5.15031147385252
"7041","NSUN5",5.45240800807902,5.43824216982881,5.35042962094129,5.30413089663243,5.37387519441306,5.40929727081496
"7042","TRIM50",0.178496618658084,0.304474471825912,0.284432299138006,0.178496618658083,0.439876143854221,0.178496618658083
"7043","FKBP6",0.279940912160248,0.178496618658084,0.317262304699441,0.318042161061212,0.178496618658083,0.178496618658083
"7044","FZD9",2.76403923445144,2.71072642165599,2.89204869207646,2.26112257898911,2.35238669988599,2.11789689676763
"7045","BAZ1B",5.8258024823861,5.97447585204229,5.61233043793756,5.66670840802026,5.57694159943163,5.52860547922489
"7046","BCL7B",5.70249522666827,6.17551010932819,6.20192908805408,6.12843233011578,6.07173479809884,6.01286139643286
"7047","TBL2",4.02115331263581,4.05032893183573,4.11621434316424,4.21928460348912,4.34594342568125,4.18386169141859
"7048","MLXIPL",4.00046155650384,4.40803695337773,4.12677516389921,4.31191610352085,4.20896848671654,3.9956468296363
"7049","VPS37D",4.070490090659,4.22746889151449,4.16666540286729,4.00233453953887,4.17742153289059,3.96773718625747
"7050","DNAJC30",5.39986588627462,5.54245915292566,5.57133631256251,5.48856533756405,5.62032739694542,5.48281572185518
"7051","BUD23",5.75567897580385,5.76049480426119,5.67176725437579,5.64793585830282,5.70538646339089,5.64251920252788
"7052","STX1A",7.54400451931106,7.88525224718905,8.02552222409804,8.07038201233217,8.37680414147448,8.25406378733113
"7053","ABHD11",4.62875660920278,4.20560961774427,4.45242733069057,4.52615837332747,4.60847024665257,4.6850553332483
"7054","CLDN3",4.74028704644773,3.58525428908108,3.92294039178457,4.6884510796399,4.74709530767706,5.29853212952501
"7055","CLDN4",4.65023171772375,3.93382147619243,4.19379771287497,4.67267423494109,4.76221312204729,5.07630575274753
"7056","METTL27",2.03737098167244,1.54597988696447,1.79735554462207,2.541046534059,1.60523976900881,1.6033684796932
"7057","TMEM270",0.178496618658084,0.178496618658084,0.234055666251024,0.277170654935498,0.260878434210086,0.178496618658083
"7058","ELN",5.15310637467508,3.35293691335285,2.97895774037984,2.45178700088558,2.54881988465647,3.03457754153137
"7059","LIMK1",6.1795142891647,6.06795727799619,6.55341701758791,6.88395217135286,6.75151771099764,6.42027839464813
"7060","EIF4H",8.09061567574411,8.29145167131467,8.35911705359005,8.34678998236671,8.46856489173059,8.24379755127948
"7061","LAT2",2.25379528976447,1.97079096903203,2.02918225327898,2.08172881968745,2.28915132421245,1.86212955809622
"7062","RFC2",4.45401131402379,4.49784508767798,4.25054337777384,4.27522382410081,4.12873808094188,4.16429341837327
