"","gene_symbol","L1","L2","L3","L4","L5","L6"
"19252","LOC105369212",91894,74426,62405,20324,22633,38410
"19253","LOC105369213",6859,9219,15635,2126,6128,4331
"19254","LOC105369214",0,1154,2065,1693,1651,1345
"19255","LOC105369215",0,13,37,26,34,26
"19256","LOC105369216",3,2,30,7,13,22
"19257","LOC105369217",103,314,592,409,314,383
"19258","LOC105369219",8642,29571,36353,19581,34056,47787
"19259","LOC105369220",0,6,0,2,0,5
"19260","LOC105369221",298,500,822,387,275,419
"19261","LOC105369222",2,11,44,19,17,16
"19262","LOC105369223",85053,152733,233261,145249,154300,152239
"19263","LOC105369224",693,1399,4063,1676,2623,2424
"19264","LOC105369225",66,138,131,128,106,143
"19265","LOC105369228",280,187,322,202,256,534
"19266","LOC105369235",39,146,230,108,123,164
"19267","LOC105369246",46,23,340,37,42,6
"19268","LOC105369249",154,50,168,207,150,170
"19269","LOC105369266",0,48,138,176,117,105
"19270","LOC105369272",206,602,1093,793,973,613
"19271","LOC105369274",292,350,858,345,391,75
"19272","LOC105369279",1589,3509,7150,5486,4982,5608
"19273","LOC105369286",2324,2380,3451,2462,3353,2485
"19274","LOC105369287",36,477,578,275,194,261
"19275","LOC105369288",1137,3843,6508,4920,13670,11721
"19276","LOC105369289",24,41,89,49,53,588
"19277","LOC105369290",89,3303,856,1574,2116,2413
"19278","LOC105369291",189,388,754,429,610,350
"19279","LOC105369292",36,61,406,269,198,148
"19280","LOC105369293",0,0,12,52,213,242
"19281","LOC105369294",108,237,199,239,363,317
"19282","LOC105369295",908,348,1315,1072,1167,1055
"19283","LOC105369296",124,108,281,519,286,174
"19284","LOC105369297",2741,5361,13789,5971,8770,8326
"19285","LOC105369298",45,301,1247,932,1827,969
"19286","LOC105369299",967,1194,2095,2206,383,1240
"19287","LOC105369300",745,187,1763,1462,467,1601
"19288","LOC105369301",1613,2017,6696,2467,5617,4895
"19289","LOC105369302",1948,23334,140839,52749,41705,34203
"19290","LOC105369303",100,173,61,78,176,235
"19291","LOC105369304",3795,11952,22691,11847,14791,15137
"19292","LOC105369305",348,859,599,933,588,477
"19293","LOC105369306",2617,3272,6752,3971,4224,7663
"19294","LOC105369307",12924,18805,35893,27080,27069,27918
"19295","LOC105369308",18,31,664,54,643,189
"19296","LOC105369309",8344,2541,4074,5583,5414,11358
"19297","LOC105369310",721,959,1759,1159,1673,1375
"19298","LOC105369311",486,616,788,447,743,751
"19299","LOC105369312",114,53,279,88,257,457
"19300","LOC105369313",6287,12976,34645,34706,35367,31454
"19301","LOC105369314",944,129,255,103,229,255
"19302","LOC105369315",21,47,45,41,39,269
"19303","LOC105369316",46,309,270,247,225,546
"19304","LOC105369317",2119,2458,3097,1648,1472,2014
"19305","LOC105369318",831,703,1073,175,2449,431
"19306","LOC105369319",1396,1116,1707,2281,482,33
"19307","LOC105369320",1,1,1,0,108,34
"19308","LOC105369321",904,133,531,662,511,223
"19309","LOC105369322",391,1973,2189,2058,1865,1254
"19310","LOC105369323",47,187,316,192,107,348
"19311","LOC105369324",3,91,204,19,105,27
"19312","LOC105369325",3102,6623,7908,6699,9285,5515
"19313","LOC105369326",288,116,66,183,148,114
"19314","LOC105369327",1856,4766,7757,3135,3190,1802
"19315","LOC105369329",4325,11482,14690,7216,10184,8746
"19316","LOC105369330",450,2253,2514,2490,1816,2770
"19317","LOC105369331",13,103,134,166,158,206
"19318","LOC105369332",1642,1710,2077,1352,1833,2362
"19319","LOC105369333",3788,9995,14586,18701,14845,9988
"19320","LOC105369334",20135,89177,172822,225397,154622,89961
"19321","LOC105369335",2,18,157,163,18,79
"19322","LOC105369336",432,1064,1509,1640,884,1318
"19323","LOC105369337",217,1213,1220,1072,1116,625
"19324","LOC105369338",101,13,27,45,106,43
"19325","LOC105369339",915,1621,3283,1279,748,1376
"19326","LOC105369340",421,1134,1795,986,1403,1625
"19327","LOC105369341",253,142,235,132,160,179
"19328","LOC105369342",52,12,312,1404,1105,886
"19329","LOC105369343",142,467,306,603,1202,337
"19330","LOC105369344",1567,3074,4351,3653,3408,4573
"19331","LOC105369345",217727,359663,749506,477715,520863,376555
"19332","LOC105369346",1301,2566,2111,1435,2021,2452
"19333","LOC105369347",4288,7280,15261,8566,12103,16628
"19334","LOC105369348",8725,19078,21561,15342,15422,13527
"19335","LOC105369349",260,1341,3174,2718,1679,1617
"19336","LOC105369350",487,708,1044,1448,479,498
"19337","LOC105369351",530,504,697,359,1001,389
"19338","LOC105369352",89,28,81,35,42,15
"19339","LOC105369353",548,1169,1889,1180,1368,860
"19340","LOC105369354",848,1607,1768,1755,2456,1859
"19341","LOC105369355",434,521,1508,789,1300,826
"19342","LOC105369356",206,2512,1320,470,779,549
"19343","LOC105369357",1,268,172,122,52,40
"19344","LOC105369358",11,18,53,24,49,35
"19345","LOC105369359",122,397,405,714,304,610
"19346","LOC105369360",6088,31640,22653,7683,29941,28490
"19347","LOC105369361",1522,3012,5155,3908,4967,4654
"19348","LOC105369362",446,1833,1202,1110,840,748
"19349","LOC105369363",2093,4764,10198,6285,6325,5922
"19350","LOC105369364",563,451,1062,417,546,344
"19351","LOC105369365",48,335,182,549,142,169
"19352","LOC105369366",273,670,1158,395,577,441
"19353","LOC105369367",3,66,211,114,101,44
"19354","LOC105369368",796,344,686,402,678,485
"19355","LOC105369369",192,112,155,84,314,105
"19356","LOC105369370",521,819,1644,1342,853,536
"19357","LOC105369371",164,989,1218,60,368,536
"19358","LOC105369372",0,0,0,1,16,27
"19359","LOC105369373",655,606,850,421,421,632
"19360","LOC105369374",424,1026,1450,1186,1406,1779
"19361","LOC105369375",1229,1089,1392,1728,904,1286
"19362","LOC105369376",568,904,583,823,715,1059
"19363","LOC105369377",5,55,108,12,82,22
"19364","LOC105369378",2799,4607,6004,4940,3469,3834
"19365","LOC105369379",102,530,577,388,329,286
"19366","LOC105369380",11587,16038,26927,21956,21279,17313
"19367","LOC105369381",867,2895,3762,1025,10045,651
"19368","LOC105369382",198,61,113,247,49,59
"19369","LOC105369383",576,1351,2402,1581,1422,2613
"19370","LOC105369384",7926,10197,22846,18830,17312,18834
"19371","LOC105369385",346,1393,755,750,1032,1316
"19372","LOC105369386",117,977,1019,507,228,578
"19373","LOC105369387",437,408,472,9,121,291
"19374","LOC105369388",40752,98673,112483,69796,78916,76983
"19375","LOC105369389",158,118,389,44,625,91
"19376","LOC105369390",0,849,118,84,4,16
"19377","LOC105369391",8043,20208,36428,27592,28413,33224
"19378","LOC105369392",364,1102,1116,1125,1113,651
"19379","LOC105369393",10,332,967,133,207,26
"19380","LOC105369394",0,0,1,0,9,1
"19381","LOC105369395",187,352,2032,514,520,561
"19382","LOC105369396",0,0,0,0,61,0
"19383","LOC105369397",8,20,51,25,134,69
"19384","LOC105369398",144,284,532,936,1994,2409
"19385","LOC105369399",6,12,13,9,100,19
"19386","LOC105369400",9,17,380,106,59,128
"19387","LOC105369401",1071,324,2207,648,289,777
"19388","LOC105369402",1078,885,2511,2125,3300,2515
"19389","LOC105369403",639,876,1916,1573,761,960
"19390","LOC105369404",6,11,72,20,65,35
"19391","LOC105369405",1480,5398,17178,8468,6920,8596
"19392","LOC105369406",95,258,785,497,448,292
"19393","LOC105369407",10687,29320,64130,34959,38629,47386
"19394","LOC105369408",9023,15888,36205,24974,25395,32695
"19395","LOC105369409",364,332,937,713,532,949
"19396","LOC105369410",4283,5077,6576,1738,1715,3067
"19397","LOC105369411",774,1086,815,370,190,1028
"19398","LOC105369412",3358,3381,2581,311,1009,812
"19399","LOC105369413",7321,10975,27532,18900,21001,17455
"19400","LOC105369414",9383,11909,31859,21545,21288,20753
"19401","LOC105369415",246,1267,1987,1853,1205,2310
"19402","LOC105369416",71,466,644,489,390,1037
"19403","LOC105369417",86,437,972,499,442,767
"19404","LOC105369418",191,1238,1518,865,1053,1813
"19405","LOC105369419",1267,3859,5590,3311,3679,3571
"19406","LOC105369420",100,862,314,326,126,526
"19407","LOC105369421",10399,17398,22683,15930,18529,17549
"19408","LOC105369422",1733,1135,2843,2495,2571,3262
"19409","LOC105369423",0,22,170,215,285,9
"19410","LOC105369424",235,248,775,664,657,734
"19411","LOC105369426",0,64,59,41,0,25
"19412","LOC105369427",704,2927,11067,10618,5842,2658
"19413","LOC105369428",1242,3612,7825,1489,1756,2539
"19414","LOC105369429",605,307,643,109,272,427
"19415","LOC105369430",26,127,832,99,230,67
"19416","LOC105369431",3,8,14,3,7,6
"19417","LOC105369432",617,971,1600,2271,760,2420
"19418","LOC105369435",24709,88491,107578,22453,38089,46416
"19419","LOC105369436",5732,10370,50327,46684,67615,61908
"19420","LOC105369437",1827,1606,4575,3285,3299,2937
"19421","LOC105369438",1680,3652,14350,14980,20837,14506
"19422","LOC105369439",338,1431,673,383,1608,1582
"19423","LOC105369440",403,1156,681,387,1087,627
"19424","LOC105369441",0,11,3,5,14,231
"19425","LOC105369442",0,3,137,30,21,4
"19426","LOC105369443",3265,6578,34090,137468,103687,14369
"19427","LOC105369444",8,68,50,43,229,363
"19428","LOC105369445",70,91,159,47,70,129
"19429","LOC105369446",249,181,778,393,287,536
"19430","LOC105369447",1793,4233,9980,3724,10819,9058
"19431","LOC105369448",2,615,1270,8751,4087,742
"19432","LOC105369449",1161,455,5749,19282,12895,1677
"19433","LOC105369450",11,9,721,2191,941,451
"19434","LOC105369451",360,155,991,4270,2578,1060
"19435","LOC105369452",16,940,404,162,140,34
"19436","LOC105369453",1,2,2,552,3,2
"19437","LOC105369454",1147,1762,660,596,673,754
"19438","LOC105369455",160,694,493,772,564,254
"19439","LOC105369456",503,295,695,756,685,229
"19440","LOC105369457",0,0,0,0,0,0
"19441","LOC105369458",15,140,147,192,782,552
"19442","LOC105369459",1171,2218,5231,3188,5660,10159
"19443","LOC105369460",139,122,360,539,543,696
"19444","LOC105369461",26,60,277,73,164,158
"19445","LOC105369462",0,1,3,5,0,3
"19446","LOC105369463",7666,24929,14373,3548,4532,6006
"19447","LOC105369464",25973,53605,26416,2572,9272,19363
"19448","LOC105369465",457,707,405,143,498,777
